sku,product,category,subcategory,theme,owner,explicit,latent,total,syndicated_copies,examples
KH-KEPLER-160-BR,KEPLER Knurled T-Bar Handle - Brass,Handle,T Bar,Value for money,PRODUCT,0,7,7,4,"Although this was the more expensive option you could tell the quality was worlds ahead so we ordered these. The weight was heavy , the knurling was precise and the colour looked great and not cheap like others. || Although this was the more expensive option you could tell the quality was worlds ahead so we ordered these. The weight was heavy , the knurling was precise and the colour looked great and not cheap like others."
ADH-HOFF-090-3BK-R,HOFFMAN 90mm Hook - Black,Hook,Double Fixing Hook,Size & dimensions,PRODUCT,0,3,3,1,"However, they were too small for my project. || However, they were too small for my project."
COH-FOLD-070-2BK,FOLD Short Edge Pull Handle - Black,Handle,Edge Pull,Fixings & screws,PRODUCT,0,2,2,1,"but as expected, the quality was rubbish, and so I did what I should’ve done originally… pay a bit more for some handles of top quality. These exceeded my expectatations in every way; smooth edges, no rough bits anywhere || but as expected, the quality was rubbish, and so I did what I should’ve done originally… pay a bit more for some handles of top quality. These exceeded my expectatations in every way; smooth edges, no rough bits anywhere"
KTH-CKN-FELI-025-1AB,FELIX Hook - Antique Brass,Hook,Single Fixing Hook,Fixings & screws,PRODUCT,0,2,2,1,"but putting it to use in another project. My only other piece is that my cupboard was wider than the bolt provided, so I'll have to source longs options separately || but putting it to use in another project. My only other piece is that my cupboard was wider than the bolt provided, so I'll have to source longs options separately"
CKN-BOBB-025-1BR,BOBBIN Ball Knob - Brass,Knob,Knob,Fixings & screws,PRODUCT,0,2,2,1,slightly longer screws for a couple of them. || slightly longer screws for a couple of them.
CKN-REVI-025-1AB,REVILL Knurled Knob - Antique Brass,Knob,Knob,Customer service,OPS,0,2,2,1,"but, ultimately, I chose the double t-pulls for the drawers and returned these knobs without a problem. Plank Hardware offers quality, stylish products and great customer service. || but, ultimately, I chose the double t-pulls for the drawers and returned these knobs without a problem. Plank Hardware offers quality, stylish products and great customer service."
KH-FRANKLIN-21-AB,FRANKLIN Knurled Button Knob - Antique Brass,,,Customer service,OPS,0,2,2,2,"but, ultimately, I chose the T-pulls for the cabinet doors and returned these knobs without a problem. Plank Hardware offers quality, stylish products and great customer service. || but, ultimately, I chose the T-pulls for the cabinet doors and returned these knobs without a problem. Plank Hardware offers quality, stylish products and great customer service."
KH-SEARLE-220-BR,SEARLE Swirled T-Bar Handle - Brass,,,Missing parts & availability,OPS,0,2,2,1,"but ordered. Really nice handle, but ordered as a sample, only to find that when the client loved it it had been discontinued. || but ordered. Really nice handle, but ordered as a sample, only to find that when the client loved it it had been discontinued."
CBP-ADA-FLOW-050-1BR,ADA Flower Knob Backplate - Brass,Cabinetry Accessory,Backplate,Size & dimensions,PRODUCT,0,2,2,1,A bit smaller than I. A bit smaller than I expected but perfectly formed and beautifully machined. Looks fab with the antique brass knobs on my understairs cupboard doors. || A bit smaller than I. A bit smaller than I expected but perfectly formed and beautifully machined. Looks fab with the antique brass knobs on my understairs cupboard doors.
KH-HALLEY-25-BR,HALLEY Sphere Knob - Brass,,,Size & dimensions,PRODUCT,0,2,2,1,but. It’s lovely and heavy but please note it is very small. We have to return it because it is too small to grasp on upper cabinets. These are more for an occasional use side table. || but. It’s lovely and heavy but please note it is very small. We have to return it because it is too small to grasp on upper cabinets. These are more for an occasional use side table.
KH-HALLEY-25-BR,HALLEY Sphere Knob - Brass,,,Returns & exchange friction,OPS,0,2,2,1,but. It’s lovely and heavy but please note it is very small. We have to return it because it is too small to grasp on upper cabinets. These are more for an occasional use side table. || but. It’s lovely and heavy but please note it is very small. We have to return it because it is too small to grasp on upper cabinets. These are more for an occasional use side table.
KH-MERCURY-60-BR,MERCURY Curved Lip Pull Handle - Brass,,,Value for money,PRODUCT,0,2,2,1,but. These handles are nice but they are definitely overpriced for what they are. || but. These handles are nice but they are definitely overpriced for what they are.
KH-TURING-29-BR,TURING Hexagon Knob - Brass,,,Size & dimensions,PRODUCT,0,2,2,1,slightly too long for my purpose so I found some shorter ones I had at home. || slightly too long for my purpose so I found some shorter ones I had at home.
CTB-WATT-155-1AB,WATT T-Bar Handle - Antique Brass,Handle,T Bar,Value for money,PRODUCT,0,2,2,1,but they are of a very good quality and cheaper than other more expensive ones on the market. || but they are of a very good quality and cheaper than other more expensive ones on the market.
CTB-KEPL-760-2BK-R,KEPLER Heavyweight Closet Bar Handle - Black,Handle,,Value for money,PRODUCT,0,2,2,1,but with a satisfying. Expensive but with a satisfying heft and a very high quality finish. || but with a satisfying. Expensive but with a satisfying heft and a very high quality finish.
KH-MERCURY-60-BR,MERCURY Curved Lip Pull Handle - Brass,,,Size & dimensions,PRODUCT,0,2,2,1,slightly smaller product (dimension for depth and height) would be even nicer. || slightly smaller product (dimension for depth and height) would be even nicer.
KH-MAXWELL-25-BR,MAXWELL Button Knob - Brass,,,Value for money,PRODUCT,0,2,2,1,"slightly. The product was great, slightly expensive I think but the quality is good enough to justify that || slightly. The product was great, slightly expensive I think but the quality is good enough to justify that"
GB-KIT-ETOG-KEPL-1G-1BR,KEPLER 1G Knurled Toggle Light Switch - Brass,Switch & Dimmer,Toggle Switch,Installation difficulty,PRODUCT,0,1,1,0,"disappointed. I got an electrician to fix them as i don’t like messing with electrics, but he found them easy to replace"
GB-LCL-MARI-028-7BR,MARIN Glass Pendant Light - Brass,Fixed Lighting,Ceiling Light,Fixings & screws,PRODUCT,0,1,1,0,"but none seem to look quite as nice as this one. The fitting itself seems to be good quality, and not too heavy which means the fixings will work on just about any ceiling.  The installation itself was easy enough, altho"
GB-LCL-MARI-028-7BR,MARIN Glass Pendant Light - Brass,Fixed Lighting,Ceiling Light,Installation difficulty,PRODUCT,0,1,1,0,"but none seem to look quite as nice as this one. The fitting itself seems to be good quality, and not too heavy which means the fixings will work on just about any ceiling.  The installation itself was easy enough, altho"
GB-EDP-PARK-02G-2PA-BK,PARKER Paintable Double Plug Socket - Black,Plug Socket,Double Plug Socket,Value for money,PRODUCT,0,1,1,0,a little on the pricey side. I wish they did paintable surface mount back boxes too!
GB-KIT-ETOG-MAXW-2G-1AB,MAXWELL 2G Two Way Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Fixings & screws,PRODUCT,0,1,1,0,"but I had opened the packaging and the packet for the screws was totally ripped. Plank let me return them, no fuss at all, and we are over the moon with the ones we eventually ordered.  Great customer service. Great qual"
GB-KIT-ETOG-MAXW-2G-1AB,MAXWELL 2G Two Way Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Returns & exchange friction,OPS,0,1,1,0,"but I had opened the packaging and the packet for the screws was totally ripped. Plank let me return them, no fuss at all, and we are over the moon with the ones we eventually ordered.  Great customer service. Great qual"
GB-KIT-ETOG-MAXW-2G-1AB,MAXWELL 2G Two Way Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Customer service,OPS,0,1,1,0,"but I had opened the packaging and the packet for the screws was totally ripped. Plank let me return them, no fuss at all, and we are over the moon with the ones we eventually ordered.  Great customer service. Great qual"
ADH-HOFF-090-3BK-R,HOFFMAN 90mm Hook - Black,Hook,Double Fixing Hook,Returns & exchange friction,OPS,0,1,1,0,Unfortunately we returned them as they were too small.
TAPSET-CRA-SW-AB,ARMSTRONG Swirled Kitchen Mixer Tap - Antique Brass,Unmapped SKU,,Missing parts & availability,OPS,0,1,1,0,"but then we spotted this and we really liked the stylish look of it and liked the antique brass finish. By the time we needed it, it was out of stock but it was soon restocked.   When it first arrived we were concerned t"
TAPSET-CRA-SW-AB,ARMSTRONG Swirled Kitchen Mixer Tap - Antique Brass,Unmapped SKU,,Delivery,OPS,0,1,1,0,"but then we spotted this and we really liked the stylish look of it and liked the antique brass finish. By the time we needed it, it was out of stock but it was soon restocked.   When it first arrived we were concerned t"
TAPSET-CRA-SW-AB,ARMSTRONG Swirled Kitchen Mixer Tap - Antique Brass,Unmapped SKU,,Finish & colour mismatch,PRODUCT,0,1,1,0,"but then we spotted this and we really liked the stylish look of it and liked the antique brass finish. By the time we needed it, it was out of stock but it was soon restocked.   When it first arrived we were concerned t"
ADH-HOFF-090-1BR-R,HOFFMAN 90mm Hook - Brass,Hook,Double Fixing Hook,Size & dimensions,PRODUCT,0,1,1,0,Slightly smaller than expected but that's on my part.
